file,track_index,track_name,channel,instrument,all_program_changes,notes_count,lowest_note,highest_note,duration_ticks,tempos,signatures,keys,format,resolution,total_tracks,total_duration_ticks
"H206.mid",0,"",-1,,"",0,,,192,"100|100|100|100|100","2/4|4/4|2/4|4/4|2/4|4/4|2/4|4/4|2/4|4/4","",1,96,5,6124
"H206.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",61,64,77,6124,"100|100|100|100|100","2/4|4/4|2/4|4/4|2/4|4/4|2/4|4/4|2/4|4/4","",1,96,5,6124
"H206.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",62,59,69,6124,"100|100|100|100|100","2/4|4/4|2/4|4/4|2/4|4/4|2/4|4/4|2/4|4/4","",1,96,5,6124
"H206.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",64,55,64,6124,"100|100|100|100|100","2/4|4/4|2/4|4/4|2/4|4/4|2/4|4/4|2/4|4/4","",1,96,5,6124
"H206.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",63,43,57,6124,"100|100|100|100|100","2/4|4/4|2/4|4/4|2/4|4/4|2/4|4/4|2/4|4/4","",1,96,5,6124
"H560.mid",0,"",-1,,"",0,,,3936,"89|89|89|89|89","6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4","",1,96,5,4080
"H560.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",52,62,74,4080,"89|89|89|89|89","6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4","",1,96,5,4080
"H560.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",52,61,71,4080,"89|89|89|89|89","6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4","",1,96,5,4080
"H560.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",50,54,62,4080,"89|89|89|89|89","6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4","",1,96,5,4080
"H560.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",50,43,62,4080,"89|89|89|89|89","6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4|6/4|5/4|1/4|6/4|5/4|3/4","",1,96,5,4080
